Test Number,Data Layer,Application Layer,Test,Name Lookup,Connect,App Connect,PreTransfer,Redirect,Start Transfer,Total Time
1,MySQL,Python,python-mysql-data-aggre-1,0.001479,0.003297,0.000000,0.003890,0.000000,0.043193,0.043318
2,MySQL,Python,python-mysql-data-aggre-1,0.000032,0.000612,0.000000,0.000759,0.000000,0.005229,0.005267
3,MySQL,Python,python-mysql-data-aggre-1,0.000028,0.000181,0.000000,0.000204,0.000000,0.001514,0.001523
4,MySQL,Python,python-mysql-data-aggre-1,0.000030,0.001030,0.000000,0.001067,0.000000,0.002197,0.002205
5,MySQL,Python,python-mysql-data-aggre-1,0.000072,0.000673,0.000000,0.000706,0.000000,0.002096,0.002105
6,MySQL,Python,python-mysql-data-aggre-1,0.000064,0.000897,0.000000,0.000927,0.000000,0.002185,0.002193
7,MySQL,Python,python-mysql-data-aggre-1,0.000060,0.000601,0.000000,0.000632,0.000000,0.001746,0.001755
8,MySQL,Python,python-mysql-data-aggre-1,0.000037,0.000385,0.000000,0.000427,0.000000,0.001558,0.001570
9,MySQL,Python,python-mysql-data-aggre-1,0.000029,0.000403,0.000000,0.000451,0.000000,0.001670,0.001679
10,MySQL,Python,python-mysql-data-aggre-1,0.000030,0.000240,0.000000,0.000266,0.000000,0.001099,0.001107
11,MySQL,Python,python-mysql-data-aggre-1,0.000037,0.000284,0.000000,0.000319,0.000000,0.001194,0.001201
12,MySQL,Python,python-mysql-data-aggre-1,0.000030,0.000187,0.000000,0.000216,0.000000,0.001016,0.001025
13,MySQL,Python,python-mysql-data-aggre-1,0.000036,0.000370,0.000000,0.000414,0.000000,0.001564,0.001675
14,MySQL,Python,python-mysql-data-aggre-1,0.000055,0.000633,0.000000,0.000674,0.000000,0.001495,0.001502
15,MySQL,Python,python-mysql-data-aggre-1,0.000028,0.000151,0.000000,0.000178,0.000000,0.002225,0.002237
16,MySQL,Python,python-mysql-data-aggre-1,0.000039,0.000692,0.000000,0.000742,0.000000,0.001596,0.001606
17,MySQL,Python,python-mysql-data-aggre-1,0.000039,0.000202,0.000000,0.000237,0.000000,0.001153,0.001163
18,MySQL,Python,python-mysql-data-aggre-1,0.000038,0.000290,0.000000,0.000333,0.000000,0.001159,0.001170
19,MySQL,Python,python-mysql-app-aggre-1,0.000037,0.000176,0.000000,0.000210,0.000000,0.001257,0.001263
20,MySQL,Python,python-mysql-app-aggre-1,0.000026,0.000204,0.000000,0.000226,0.000000,0.000891,0.000898
21,MySQL,Python,python-mysql-app-aggre-1,0.000031,0.000595,0.000000,0.000621,0.000000,0.001320,0.001328
22,MySQL,Python,python-mysql-app-aggre-1,0.000030,0.000126,0.000000,0.000152,0.000000,0.000914,0.000922
23,MySQL,Python,python-mysql-app-aggre-1,0.000023,0.000113,0.000000,0.000133,0.000000,0.000901,0.000909
24,MySQL,Python,python-mysql-app-aggre-1,0.000024,0.000113,0.000000,0.000137,0.000000,0.000712,0.000720
25,MySQL,Python,python-mysql-app-aggre-1,0.000026,0.000149,0.000000,0.000173,0.000000,0.000890,0.000896
26,MySQL,Python,python-mysql-app-aggre-1,0.000025,0.000111,0.000000,0.000133,0.000000,0.000723,0.000729
27,MySQL,Python,python-mysql-app-aggre-1,0.000033,0.000163,0.000000,0.000192,0.000000,0.000822,0.000829
28,MySQL,Python,python-mysql-app-aggre-1,0.000038,0.000152,0.000000,0.000187,0.000000,0.000909,0.000933
29,MySQL,Python,python-mysql-data-filter-1,0.000023,0.000100,0.000000,0.000119,0.000000,0.000724,0.000731
30,MySQL,Python,python-mysql-data-filter-1,0.000023,0.000161,0.000000,0.000182,0.000000,0.001755,0.001761
31,MySQL,Python,python-mysql-data-filter-1,0.000026,0.000168,0.000000,0.000195,0.000000,0.000943,0.000950
32,MySQL,Python,python-mysql-data-filter-1,0.000026,0.000110,0.000000,0.000135,0.000000,0.000768,0.000775
33,MySQL,Python,python-mysql-data-filter-1,0.000025,0.000118,0.000000,0.000140,0.000000,0.000865,0.000872
34,MySQL,Python,python-mysql-data-filter-1,0.000026,0.000454,0.000000,0.000486,0.000000,0.001153,0.001160
35,MySQL,Python,python-mysql-data-filter-1,0.000026,0.000122,0.000000,0.000146,0.000000,0.001438,0.001444
36,MySQL,Python,python-mysql-data-filter-1,0.000026,0.000113,0.000000,0.000135,0.000000,0.031024,0.031076
37,MySQL,Python,python-mysql-data-filter-1,0.000027,0.000121,0.000000,0.000143,0.000000,0.005276,0.005318
38,MySQL,Python,python-mysql-data-filter-1,0.000036,0.000214,0.000000,0.000243,0.000000,0.005307,0.005343
39,MySQL,Python,python-mysql-app-filter-1,0.000023,0.000117,0.000000,0.000138,0.000000,0.005244,0.005289
40,MySQL,Python,python-mysql-app-filter-1,0.000024,0.000120,0.000000,0.000142,0.000000,0.004974,0.005064
41,MySQL,Python,python-mysql-app-filter-1,0.000032,0.000113,0.000000,0.000134,0.000000,0.004576,0.004615
42,MySQL,Python,python-mysql-app-filter-1,0.000024,0.000110,0.000000,0.000132,0.000000,0.004099,0.004134
43,MySQL,Python,python-mysql-app-filter-1,0.000028,0.000192,0.000000,0.000213,0.000000,0.004055,0.004086
44,MySQL,Python,python-mysql-app-filter-1,0.000025,0.000107,0.000000,0.000129,0.000000,0.004808,0.004843
45,MySQL,Python,python-mysql-app-filter-1,0.000024,0.000503,0.000000,0.000551,0.000000,0.004542,0.004573
46,MySQL,Python,python-mysql-app-filter-1,0.000021,0.000143,0.000000,0.000163,0.000000,0.004388,0.004426
